" "," "," ","1914","1967","2007"
"Level I","Level II","Level III","Area (km2)","Area (km2)","Area (km2)"
"Built-up","Towns/cities","Towns/cities","1.625","3.936","10.133"
"Sub total"," "," ","1.625","3.936","10.133"
"Agriculture","Crop land","Paddy","41.268","12.788","11.527"
" "," ","Banana","0","0","0.646"
" "," ","Mixed vegetables","0","0","0.811"
" ","Plantation","Rubber","0","8.973","57.731"
" "," ","Coconut"," ","6.816","3.512"
" "," ","Mixed","270.534","306.463","256.719"
"Sub total"," "," ","311.802","335.039","330.946"
"Wasteland","Barren rocky/stony waste"," ","10.546","9.810","7.695"
" ","Sand mining/industrial waste/coastal sand"," ","0.243","0.206","0.215"
" ","Marshy land"," ","0.657"," "," "
" ","Scrub land"," ","39.070","6.885","7.081"
"Sub total"," "," ","50.516","16.901","14.991"
"Forest","Evergreen/semievergreen"," ","115.587","114.076","55.371"
" ","Dense mixed"," "," "," ","46.770"
" ","Scrub forest"," "," "," ","13.165"
" ","Forest plantation","Eucalyptus"," ","2.848","1.499"
"Sub total"," "," ","115.587","116.924","116.805"
"Water bodies","River/streams"," ","3.051","2.32","2.310"
" ","Ponds/tanks"," ","0.856","0.987","0.728"
" ","Reservoir"," ","0.000","7.33","7.523"
"Sub total"," "," ","3.907","10.637","10.561"
" "," "," ","483.437","483.437","483.437"